Edad	Dq	thinning	varname	zone	cal
12	22.8754691059976	M4	Dq	1	21
13	23.9558913589444	M4	Dq	1	21
14	24.9306192835439	M4	Dq	1	21
15	25.8142301086731	M4	Dq	1	21
15	29.2134998147872	M4	Dq	1	21
16	30.3365771611859	M4	Dq	1	21
17	31.3703087477869	M4	Dq	1	21
18	32.324770302581	M4	Dq	1	21
19	33.2086392562453	M4	Dq	1	21
20	34.0294118925647	M4	Dq	1	21
21	34.7935866022611	M4	Dq	1	21
22	35.5068173088312	M4	Dq	1	21
23	36.1740414772403	M4	Dq	1	21
24	36.7995868352502	M4	Dq	1	21
25	37.3872604298615	M4	Dq	1	21
25	0	M4	Dq	1	21
1	0.401861644080159	M4	Dq	1	26
2	3.60595940313138	M4	Dq	1	26
3	7.84645788276395	M4	Dq	1	26
4	11.7479330825364	M4	Dq	1	26
5	15.0681995960214	M4	Dq	1	26
6	17.852934113012	M4	Dq	1	26
7	20.1962103539853	M4	Dq	1	26
8	22.1851132010654	M4	Dq	1	26
9	23.8900291274428	M4	Dq	1	26
10	25.3657965449226	M4	Dq	1	26
11	26.6548493486039	M4	Dq	1	26
