Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
25	0	M4	AB	0	21
1	0.000925447446604835	M4	AB	0	26
2	0.301927399947389	M4	AB	0	26
3	2.34702979279696	M4	AB	0	26
4	6.80565127780418	M4	AB	0	26
5	13.1220399559674	M4	AB	0	26
6	20.5239509073528	M4	AB	0	26
7	28.4141860849131	M4	AB	0	26
8	36.4024283725377	M4	AB	0	26
9	44.2531973950377	M4	AB	0	26
10	51.8331940748699	M4	AB	0	26
11	59.0732647242898	M4	AB	0	26
12	65.943493830275	M4	AB	0	26
13	72.4374788599167	M4	AB	0	26
14	78.5625450476788	M4	AB	0	26
15	84.3336958534449	M4	AB	0	26
15	57.8822738460651	M4	AB	0	26
16	62.5904009755152	M4	AB	0	26
17	67.0926065829582	M4	AB	0	26
18	71.393448349312	M4	AB	0	26
19	75.4996640457389	M4	AB	0	26
20	79.4192769832676	M4	AB	0	26
21	83.1609866123095	M4	AB	0	26
22	86.7337565971456	M4	AB	0	26
23	90.1465398254055	M4	AB	0	26
24	93.4080984380639	M4	AB	0	26
25	96.5268897650752	M4	AB	0	26
25	0	M4	AB	0	26
1	6.1659087000636e-12	M4	AB	0	7
2	9.4639129532749e-06	M4	AB	0	7
3	0.00147216570909113	M4	AB	0	7
4	0.0202229335783756	M4	AB	0	7
5	0.101760381788777	M4	AB	0	7
6	0.30596308892914	M4	AB	0	7
7	0.681330188207609	M4	AB	0	7
8	1.25359976294812	M4	AB	0	7
9	2.02719016411616	M4	AB	0	7
10	2.99144529647531	M4	AB	0	7
11	4.12694916450296	M4	AB	0	7
12	5.41031302301527	M4	AB	0	7
13	6.81731901542101	M4	AB	0	7
14	8.32477459206244	M4	AB	0	7
15	9.91148154479283	M4	AB	0	7
15	7.27592858571396	M4	AB	0	7
16	8.60055591066288	M4	AB	0	7
17	9.97809009942085	M4	AB	0	7
18	11.3961990630795	M4	AB	0	7
19	12.8441162289502	M4	AB	0	7
20	14.3125461212467	M4	AB	0	7
21	15.7935349027203	M4	AB	0	7
22	17.2803280095444	M4	AB	0	7
23	18.7672279909971	M4	AB	0	7
24	20.2494598743551	M4	AB	0	7
25	21.723047739622	M4	AB	0	7
25	0	M4	AB	0	7
1	1.03874838313063e-07	M4	AB	1	11
2	0.00177707805432018	M4	AB	1	11
3	0.0561872055023922	M4	AB	1	11
4	0.337525003575796	M4	AB	1	11
5	1.01978917845181	M4	AB	1	11
6	2.16607103156357	M4	AB	1	11
7	3.74627545112001	M4	AB	1	11
8	5.68598929807925	M4	AB	1	11
9	7.90034445088723	M4	AB	1	11
10	10.3106333040527	M4	AB	1	11
11	12.8503934366149	M4	AB	1	11
12	15.4663115800697	M4	AB	1	11
13	18.1169689606185	M4	AB	1	11
14	20.7709115824766	M4	AB	1	11
15	23.4047012848031	M4	AB	1	11
15	18.0123214793571	M4	AB	1	11
16	20.2384201774332	M4	AB	1	11
17	22.4454480868579	M4	AB	1	11
18	24.6227535475674	M4	AB	1	11
19	26.7624649825775	M4	AB	1	11
20	28.8589026535277	M4	AB	1	11
21	30.9081053457813	M4	AB	1	11
22	32.9074528211142	M4	AB	1	11
23	34.8553662958207	M4	AB	1	11
24	36.7510716308185	M4	AB	1	11
25	38.5944125102622	M4	AB	1	11
25	0	M4	AB	1	11
1	2.05459784976481e-05	M4	AB	1	16
2	0.0326575243319725	M4	AB	1	16
3	0.44490905623934	M4	AB	1	16
4	1.72631982475367	M4	AB	1	16
5	3.98349923296468	M4	AB	1	16
6	7.04163707468401	M4	AB	1	16
7	10.6561524267138	M4	AB	1	16
8	14.6094380344964	M4	AB	1	16
9	18.7349673364753	M4	AB	1	16
10	22.9140834711846	M4	AB	1	16
11	27.0658256551188	M4	AB	1	16
12	31.136880625086	M4	AB	1	16
13	35.093522699508	M4	AB	1	16
14	38.9156387857554	M4	AB	1	16
15	42.592454465226	M4	AB	1	16
15	29.738316058881	M4	AB	1	16
16	32.6989602157719	M4	AB	1	16
17	35.575049368894	M4	AB	1	16
18	38.3613427791201	M4	AB	1	16
19	41.0552670106832	M4	AB	1	16
20	43.6561696154606	M4	AB	1	16
21	46.1647659070093	M4	AB	1	16
22	48.5827296536173	M4	AB	1	16
23	50.9123907552898	M4	AB	1	16
24	53.1565123883545	M4	AB	1	16
25	55.3181271967063	M4	AB	1	16
25	0	M4	AB	1	16
1	0.000874975938108685	M4	AB	1	21
2	0.258225392195879	M4	AB	1	21
3	1.93724640091364	M4	AB	1	21
4	5.51474705827011	M4	AB	1	21
5	10.512772838312	M4	AB	1	21
6	16.3159096807345	M4	AB	1	21
7	22.4614574107989	M4	AB	1	21
8	28.6529243783868	M4	AB	1	21
9	34.7147324477124	M4	AB	1	21
10	40.5496891453642	M4	AB	1	21
11	46.1091111157909	M4	AB	1	21
12	51.3735896146997	M4	AB	1	21
13	56.3410016966716	M4	AB	1	21
14	61.0191323022303	M4	AB	1	21
15	65.4211612083306	M4	AB	1	21
15	46.9196862813636	M4	AB	1	21
16	50.5965701712169	M4	AB	1	21
17	54.1035182657101	M4	AB	1	21
18	57.4458707008174	M4	AB	1	21
19	60.6303509868268	M4	AB	1	21
20	63.6644231621225	M4	AB	1	21
21	66.5558630784275	M4	AB	1	21
22	69.312475914771	M4	AB	1	21
23	71.9419136442625	M4	AB	1	21
24	74.4515608073389	M4	AB	1	21
25	76.8484668702876	M4	AB	1	21
25	0	M4	AB	1	21
1	0.0158545166982305	M4	AB	1	26
2	1.27656096517724	M4	AB	1	26
3	6.04431640147442	M4	AB	1	26
4	13.549486061209	M4	AB	1	26
5	22.2906443650365	M4	AB	1	26
6	31.2909752294337	M4	AB	1	26
7	40.0442040098654	M4	AB	1	26
8	48.3195846550679	M4	AB	1	26
9	56.0316295223123	M4	AB	1	26
10	63.1679675889505	M4	AB	1	26
11	69.7513084570971	M4	AB	1	26
12	75.8197018043036	M4	AB	1	26
13	81.4164097440789	M4	AB	1	26
14	86.5848247782076	M4	AB	1	26
15	91.366043118013	M4	AB	1	26
15	63.3392202853506	M4	AB	1	26
16	67.4410484699572	M4	AB	1	26
17	71.3067411081851	M4	AB	1	26
18	74.9518919612236	M4	AB	1	26
19	78.3917719714769	M4	AB	1	26
20	81.6409789646195	M4	AB	1	26
21	84.7132552300332	M4	AB	1	26
22	87.621409210231	M4	AB	1	26
23	90.3773008202057	M4	AB	1	26
24	92.9918646488117	M4	AB	1	26
25	95.4751546744221	M4	AB	1	26
25	0	M4	AB	1	26
1	1.4630892019658e-10	M4	AB	1	7
2	4.80691826857653e-05	M4	AB	1	7
3	0.00433051374247095	M4	AB	1	7
4	0.0448002943868661	M4	AB	1	7
5	0.189265459025631	M4	AB	1	7
6	0.505150897363187	M4	AB	1	7
7	1.03152959788045	M4	AB	1	7
8	1.77674572171629	M4	AB	1	7
9	2.72753793331635	M4	AB	1	7
10	3.85894934995874	M4	AB	1	7
11	5.14153891667739	M4	AB	1	7
12	6.54575974333776	M4	AB	1	7
13	8.044269447316	M4	AB	1	7
