Edad	Dm	thinning	varname	zone	cal
18	19.8088314129311	M4	Dm	0	11
19	20.7804260572977	M4	Dm	0	11
20	21.7005256515939	M4	Dm	0	11
21	22.572527221779	M4	Dm	0	11
22	23.3996588505388	M4	Dm	0	11
23	24.1849561814701	M4	Dm	0	11
24	24.9312537525266	M4	Dm	0	11
25	25.6411856296529	M4	Dm	0	11
25	0	M4	Dm	0	11
1	0.00328521330805359	M4	Dm	0	16
2	0.26867694740388	M4	Dm	0	16
3	1.27798717832723	M4	Dm	0	16
4	2.87159927852685	M4	Dm	0	16
5	4.73101439182436	M4	Dm	0	16
6	6.64765873434531	M4	Dm	0	16
7	8.51282867783241	M4	Dm	0	16
8	10.276649902272	M4	Dm	0	16
9	11.9204141726117	M4	Dm	0	16
10	13.4411789293886	M4	Dm	0	16
11	14.8436123624529	M4	Dm	0	16
12	16.1357432846716	M4	Dm	0	16
13	17.3267706422558	M4	Dm	0	16
14	18.4259580352873	M4	Dm	0	16
15	19.4421014186054	M4	Dm	0	16
15	21.6432838850487	M4	Dm	0	16
16	22.8742436903816	M4	Dm	0	16
17	24.0257262958465	M4	Dm	0	16
18	25.1042575432811	M4	Dm	0	16
19	26.1158891114011	M4	Dm	0	16
20	27.0661743966172	M4	Dm	0	16
21	27.9601765597333	M4	Dm	0	16
22	28.8024937526137	M4	Dm	0	16
23	29.5972926341506	M4	Dm	0	16
24	30.3483449580595	M4	Dm	0	16
25	31.0590642371604	M4	Dm	0	16
25	0	M4	Dm	0	16
1	0.0222219742995121	M4	Dm	0	21
2	0.774715167934628	M4	Dm	0	21
3	2.7218592132933	M4	Dm	0	21
4	5.22266873539111	M4	Dm	0	21
5	7.80376720549846	M4	Dm	0	21
6	10.257667111792	M4	Dm	0	21
7	12.5124658052556	M4	Dm	0	21
8	14.5550635964598	M4	Dm	0	21
9	16.3959739379333	M4	Dm	0	21
10	18.0539676299681	M4	Dm	0	21
11	19.5495165501143	M4	Dm	0	21
12	20.9021159342141	M4	Dm	0	21
13	22.1293194852708	M4	Dm	0	21
14	23.2465229475098	M4	Dm	0	21
15	24.267061023024	M4	Dm	0	21
15	27.3361172104503	M4	Dm	0	21
16	28.6024084324368	M4	Dm	0	21
17	29.7754914442091	M4	Dm	0	21
18	30.8647541834576	M4	Dm	0	21
19	31.8784991951851	M4	Dm	0	21
20	32.824060062928	M4	Dm	0	21
21	33.7079153448993	M4	Dm	0	21
22	34.5357940487288	M4	Dm	0	21
23	35.3127703531154	M4	Dm	0	21
24	36.0433471847728	M4	Dm	0	21
25	36.7315291939135	M4	Dm	0	21
25	0	M4	Dm	0	21
1	0.0970793594120033	M4	Dm	0	26
2	1.75094766786331	M4	Dm	0	26
3	4.87182817769126	M4	Dm	0	26
4	8.28044752545668	M4	Dm	0	26
5	11.4794326334802	M4	Dm	0	26
6	14.3365402732859	M4	Dm	0	26
7	16.8478772716679	M4	Dm	0	26
8	19.0483893879216	M4	Dm	0	26
9	20.9807241869118	M4	Dm	0	26
10	22.6849841343633	M4	Dm	0	26
11	24.1959108622881	M4	Dm	0	26
12	25.5426655948713	M4	Dm	0	26
13	26.749438072783	M4	Dm	0	26
14	27.8362381134258	M4	Dm	0	26
15	28.8196448352128	M4	Dm	0	26
15	31.9579905183769	M4	Dm	0	26
16	33.2157405907663	M4	Dm	0	26
17	34.373232211244	M4	Dm	0	26
18	35.4416753112088	M4	Dm	0	26
19	36.4307582426507	M4	Dm	0	26
20	37.3488744326832	M4	Dm	0	26
21	38.2033166395044	M4	Dm	0	26
22	39.0004415174122	M4	Dm	0	26
23	39.7458082089429	M4	Dm	0	26
24	40.4442947747495	M4	Dm	0	26
25	41.1001959710844	M4	Dm	0	26
25	0	M4	Dm	0	26
1	-2.90901449194054e-06	M4	Dm	0	7
2	0.00716750441566814	M4	Dm	0	7
3	0.10580099213382	M4	Dm	0	7
4	0.41194875127191	M4	Dm	0	7
5	0.944930404192607	M4	Dm	0	7
6	1.65896178926949	M4	Dm	0	7
7	2.49497589724547	M4	Dm	0	7
8	3.40226272128505	M4	Dm	0	7
9	4.34298301975058	M4	Dm	0	7
10	5.29075260038399	M4	Dm	0	7
11	6.22794986529676	M4	Dm	0	7
12	7.14324604247517	M4	Dm	0	7
13	8.02969314485453	M4	Dm	0	7
14	8.88333901616295	M4	Dm	0	7
15	9.7022540137478	M4	Dm	0	7
15	11.1585285331248	M4	Dm	0	7
16	12.1427285124048	M4	Dm	0	7
17	13.0890299489801	M4	Dm	0	7
18	13.9973791865182	M4	Dm	0	7
19	14.8683574406836	M4	Dm	0	7
20	15.7029632417149	M4	Dm	0	7
21	16.5024588549013	M4	Dm	0	7
22	17.2682622246811	M4	Dm	0	7
23	18.0018713392024	M4	Dm	0	7
24	18.7048117111404	M4	Dm	0	7
25	19.378600356882	M4	Dm	0	7
25	0	M4	Dm	0	7
1	0.00101776651628632	M4	Dm	1	11
2	0.131876218088663	M4	Dm	1	11
3	0.739709488152342	M4	Dm	1	11
4	1.81169504200141	M4	Dm	1	11
5	3.14842166798929	M4	Dm	1	11
6	4.58821481316581	M4	Dm	1	11
7	6.03381697699773	M4	Dm	1	11
8	7.43324694306803	M4	Dm	1	11
9	8.76142455821947	M4	Dm	1	11
10	10.0083449848928	M4	Dm	1	11
11	11.172177975482	M4	Dm	1	11
12	12.2553641130855	M4	Dm	1	11
13	13.2624313677677	M4	Dm	1	11
14	14.1987837796646	M4	Dm	1	11
15	15.0700387420519	M4	Dm	1	11
15	17.7303985955996	M4	Dm	1	11
16	18.7940214418021	M4	Dm	1	11
17	19.7918460573421	M4	Dm	1	11
18	20.7288726998503	M4	Dm	1	11
19	21.6098264717759	M4	Dm	1	11
20	22.439106734919	M4	Dm	1	11
21	23.2207712344163	M4	Dm	1	11
22	23.9585403308731	M4	Dm	1	11
23	24.6558123932329	M4	Dm	1	11
24	25.3156848865152	M4	Dm	1	11
25	25.9409778448548	M4	Dm	1	11
25	0	M4	Dm	1	11
1	0.0144556104199449	M4	Dm	1	16
2	0.574067348259549	M4	Dm	1	16
3	2.11173151292958	M4	Dm	1	16
4	4.14986546848009	M4	Dm	1	16
5	6.29302901933072	M4	Dm	1	16
6	8.35586076628563	M4	Dm	1	16
7	10.268111477558	M4	Dm	1	16
8	12.0119923935445	M4	Dm	1	16
9	13.5919741726335	M4	Dm	1	16
10	15.0210839940498	M4	Dm	1	16
11	16.3148115405597	M4	Dm	1	16
12	17.4884780303214	M4	Dm	1	16
13	18.5561853640383	M4	Dm	1	16
14	19.5304838197517	M4	Dm	1	16
15	20.4223587689208	M4	Dm	1	16
15	22.8510203393507	M4	Dm	1	16
16	23.9550007053444	M4	Dm	1	16
17	24.9797643302357	M4	Dm	1	16
18	25.9330274670452	M4	Dm	1	16
19	26.8216641906933	M4	Dm	1	16
20	27.6517830451576	M4	Dm	1	16
21	28.4288079333591	M4	Dm	1	16
22	29.157556279128	M4	Dm	1	16
23	29.8423112062333	M4	Dm	1	16
24	30.4868864953887	M4	Dm	1	16
25	31.0946841476459	M4	Dm	1	16
25	0	M4	Dm	1	16
1	0.0943947369139273	M4	Dm	1	21
2	1.61908697976984	M4	Dm	1	21
3	4.42470157746431	M4	Dm	1	21
4	7.45000436971809	M4	Dm	1	21
5	10.2680190564883	M4	Dm	1	21
6	12.7725893423884	M4	Dm	1	21
7	14.9665721222197	M4	Dm	1	21
8	16.8842768066906	M4	Dm	1	21
9	18.5652028290438	M4	Dm	1	21
10	20.045714035684	M4	Dm	1	21
11	21.3569502779404	M4	Dm	1	21
12	22.5248518081468	M4	Dm	1	21
13	23.5708182219656	M4	Dm	1	21
14	24.5124758615673	M4	Dm	1	21
15	25.3643785805532	M4	Dm	1	21
15	28.7636482866673	M4	Dm	1	21
16	29.8563446574072	M4	Dm	1	21
17	30.8609803628245	M4	Dm	1	21
18	31.7875850076481	M4	Dm	1	21
19	32.6447876791274	M4	Dm	1	21
20	33.440035345103	M4	Dm	1	21
21	34.1797769685962	M4	Dm	1	21
22	34.8696175416108	M4	Dm	1	21
23	35.5144465288763	M4	Dm	1	21
24	36.1185449008613	M4	Dm	1	21
25	36.6856744107335	M4	Dm	1	21
25	0	M4	Dm	1	21
1	0.401850628650897	M4	Dm	1	26
2	3.60318794513961	M4	Dm	1	26
3	7.82846957152269	M4	Dm	1	26
4	11.7010939247406	M4	Dm	1	26
5	14.9836082969141	M4	Dm	1	26
6	17.7258366677077	M4	Dm	1	26
7	20.0244991380262	M4	Dm	1	26
8	21.9682598173853	M4	Dm	1	26
9	23.6284425231603	M4	Dm	1	26
10	25.0604460084778	M4	Dm	1	26
11	26.3070386923606	M4	Dm	1	26
12	27.4013903471926	M4	Dm	1	26
