"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo","renta.ant.act.Esc1.Int1","renta.act.Esc1.Int1","renta.ant.act.Esc1.Int2","renta.act.Esc1.Int2","renta.ant.act.Esc1.Int3","renta.act.Esc1.Int3","renta.ant.act.Esc2.Int1","renta.act.Esc2.Int1","renta.ant.act.Esc2.Int2","renta.act.Esc2.Int2","renta.ant.act.Esc2.Int3","renta.act.Esc2.Int3"
"41","M2",30,"zona interior","21",300,348.786,410.002,61.216,0,10.56,0,30.72,12,40.12,18,40,4329.62112,4329.62112,11449.29792,15095.18232,7119.6768,10765.5612,8,-440.483503104473,6679.19329689553,-857.284148542753,6262.39265145725,-1441.37814918686,5678.29865081314,535.393877908945,11300.9550779089,220.662722696985,10986.223922697,-250.382277671375,10515.1789223286
"52","M2",40,"zona interior","21",0,822.376,848.894,26.518,0,10.56,0,44.5,12,57.75,18,40,8964.32064,8964.32064,36913.948,47969.538,27949.62736,39005.21736,10,8141.89935898203,36091.526718982,8416.13205817766,36365.7594181777,8405.26912592569,36354.8964859257,13775.8011805824,52781.0185405824,14764.5662768547,53769.7836368547,15565.0335046708,54570.2508646708
"3","M2",1,"zona interior","26",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"34","M2",3,"zona interior","26",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"11","M2",14,"zona interior","26",1000,10.981,60.103,49.122,0,10.56,0,20,12,24,18,40,634.68768,634.68768,809.084,1147.74,174.39632,513.05232,11,-947.302018079718,-772.905698079718,-1117.04904899721,-942.652728997214,-1312.41537208973,-1138.01905208973,-947.302018079718,-434.249698079718,-1117.04904899721,-603.996728997213,-1312.41537208973,-799.363052089731
"21","M2",22,"zona interior","26",700,135.643,198.765,63.122,0,10.56,0,20,12,24,18,40,2098.9584,2098.9584,3470.324,4391.628,1371.3656,2292.6696,8,-905.582211785206,465.783388214794,-1194.12427423206,177.241325767941,-1557.45765346155,-186.092053461553,-508.792732452503,1783.8768675475,-765.124985549654,1527.54461445035,-1093.9835331275,1198.68606687249
"43","M2",30,"zona interior","26",300,553.283,613.637,60.3539999999999,0,10.56,0,30.72,12,40.12,18,40,6480.00672,6480.00672,17721.10176,23284.08596,11241.09504,16804.07924,8,545.739476316883,11786.8345163169,224.524008668304,11465.6190486683,-254.679824893846,10986.4152151062,2090.09606641496,18894.175306415,1935.04781557048,18739.1270555705,1640.48465227372,18444.5638922737
"56","M2",40,"zona interior","26",0,1191.609,1219.186,27.577,0,10.56,0,44.5,12,57.75,18,40,12874.60416,12874.60416,53357.5245,69311.80575,40482.92034,56437.20159,10,14368.0855047919,54851.0058447919,15408.8332388253,55891.7535788253,16262.5783339008,56745.4986739008,23031.8942689226,79469.0958589226,25183.8197845918,81621.0213745918,27302.4602893494,83739.6618793494
"62","M4",1,"zona costera","7",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"100","M4",3,"zona costera","7",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
