"","Edad","RegimenClara","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","variable","Renta"
"224",5,"MG2rn","zona interior","16",1250,0,0,"renta.act.Esc1.Int1",0
"225",7,"MG2rn","zona interior","16",1250,0,0,"renta.act.Esc1.Int1",-870.8148
"226",17,"MG2rn","zona interior","16",1000,0,23.634,"renta.act.Esc1.Int1",-25.3731250533069
"227",25,"MG2rn","zona interior","16",450,94.854,188.183,"renta.act.Esc1.Int1",10.1463768532243
"228",35,"MG2rn","zona interior","16",0,490.49,538.21,"renta.act.Esc1.Int1",2451.72307562447
"229",0,"MG2rn","zona interior","21",1250,0,0,"renta.act.Esc1.Int1",0
"230",5,"MG2rn","zona interior","21",1250,0,0,"renta.act.Esc1.Int1",0
"231",7,"MG2rn","zona interior","21",1250,0,0,"renta.act.Esc1.Int1",-870.8148
"232",17,"MG2rn","zona interior","21",1000,6.237,48.882,"renta.act.Esc1.Int1",-25.3731250533069
"233",25,"MG2rn","zona interior","21",450,234.188,336.059,"renta.act.Esc1.Int1",111.205654041938
"234",35,"MG2rn","zona interior","21",0,855.368,902.647,"renta.act.Esc1.Int1",5932.50419947549
"235",0,"MG2rn","zona interior","26",1250,0,0,"renta.act.Esc1.Int1",0
"236",5,"MG2rn","zona interior","26",1250,0,0,"renta.act.Esc1.Int1",0
"237",7,"MG2rn","zona interior","26",1250,0,0,"renta.act.Esc1.Int1",-870.8148
"238",17,"MG2rn","zona interior","26",1000,26.863,82.701,"renta.act.Esc1.Int1",-25.3731250533069
"239",25,"MG2rn","zona interior","26",450,445.921,547.05,"renta.act.Esc1.Int1",361.597887175167
"240",35,"MG2rn","zona interior","26",0,1262.089,1310.595,"renta.act.Esc1.Int1",11315.8629433228
"241",1,"M2","zona costera","7",1250,0,0,"renta.act.Esc1.Int2",0
"242",3,"M2","zona costera","7",1250,0,0,"renta.act.Esc1.Int2",-2333.98
"243",14,"M2","zona costera","7",1000,0,0.754,"renta.act.Esc1.Int2",-1117.04904899721
"244",22,"M2","zona costera","7",700,0,6.717,"renta.act.Esc1.Int2",-1413.66890642859
"245",30,"M2","zona costera","7",300,5.55,42.877,"renta.act.Esc1.Int2",-1778.54066737487
"246",40,"M2","zona costera","7",0,96.196,120.552,"renta.act.Esc1.Int2",-2167.6051303265
"247",1,"M2","zona costera","11",1250,0,0,"renta.act.Esc1.Int2",0
"248",3,"M2","zona costera","11",1250,0,0,"renta.act.Esc1.Int2",-2333.98
"249",14,"M2","zona costera","11",1000,0,4.755,"renta.act.Esc1.Int2",-1117.04904899721
"250",22,"M2","zona costera","11",700,0,26.476,"renta.act.Esc1.Int2",-1406.37048661088
"251",30,"M2","zona costera","11",300,51.839,105.44,"renta.act.Esc1.Int2",-1733.25188905347
"252",40,"M2","zona costera","11",0,230.851,256.221,"renta.act.Esc1.Int2",-821.122437398607
"253",1,"M2","zona costera","16",1250,0,0,"renta.act.Esc1.Int2",0
"254",3,"M2","zona costera","16",1250,0,0,"renta.act.Esc1.Int2",-2333.98
"255",14,"M2","zona costera","16",1000,0,17.457,"renta.act.Esc1.Int2",-1117.04904899721
"256",22,"M2","zona costera","16",700,10.15,59.396,"renta.act.Esc1.Int2",-1383.20014706463
"257",30,"M2","zona costera","16",300,150.42,209.939,"renta.act.Esc1.Int2",-1540.98768317785
"258",40,"M2","zona costera","16",0,447.465,472.328,"renta.act.Esc1.Int2",2119.60727704789
"259",1,"M2","zona costera","21",1250,0,0,"renta.act.Esc1.Int2",0
"260",3,"M2","zona costera","21",1250,0,0,"renta.act.Esc1.Int2",-2333.98
"261",14,"M2","zona costera","21",1000,3.179,38.584,"renta.act.Esc1.Int2",-1117.04904899721
"262",22,"M2","zona costera","21",700,60.511,117.319,"renta.act.Esc1.Int2",-1312.44485618114
"263",30,"M2","zona costera","21",300,296.238,354.15,"renta.act.Esc1.Int2",-835.330355305795
"264",40,"M2","zona costera","21",0,685.217,710.291,"renta.act.Esc1.Int2",7015.54051200477
"265",1,"M2","zona costera","26",1250,0,0,"renta.act.Esc1.Int2",0
"266",3,"M2","zona costera","26",1250,0,0,"renta.act.Esc1.Int2",-2333.98
"267",14,"M2","zona costera","26",1000,14.487,66.111,"renta.act.Esc1.Int2",-1117.04904899721
"268",22,"M2","zona costera","26",700,126.969,185.471,"renta.act.Esc1.Int2",-1147.63442029477
"269",30,"M2","zona costera","26",300,460.073,515.36,"renta.act.Esc1.Int2",171.262019531257
"270",40,"M2","zona costera","26",0,967.052,991.899,"renta.act.Esc1.Int2",12802.0761745557
"271",1,"M2","zona interior","7",1250,0,0,"renta.act.Esc1.Int2",0
"272",3,"M2","zona interior","7",1250,0,0,"renta.act.Esc1.Int2",-2333.98
"273",14,"M2","zona interior","7",1000,0,0.695,"renta.act.Esc1.Int2",-1117.04904899721
"274",22,"M2","zona interior","7",700,0,6.315,"renta.act.Esc1.Int2",-1413.77653121471
"275",30,"M2","zona interior","7",300,5.506,42.315,"renta.act.Esc1.Int2",-1779.41031109865
"276",40,"M2","zona interior","7",0,98.359,121.591,"renta.act.Esc1.Int2",-2170.96842046189
"277",1,"M2","zona interior","11",1250,0,0,"renta.act.Esc1.Int2",0
"278",3,"M2","zona interior","11",1250,0,0,"renta.act.Esc1.Int2",-2333.98
"279",14,"M2","zona interior","11",1000,0,3.471,"renta.act.Esc1.Int2",-1117.04904899721
"280",22,"M2","zona interior","11",700,0,25.636,"renta.act.Esc1.Int2",-1408.71269382056
"281",30,"M2","zona interior","11",300,54.072,108.698,"renta.act.Esc1.Int2",-1737.75121216155
"282",40,"M2","zona interior","11",0,246.758,271.774,"renta.act.Esc1.Int2",-764.686070898089
"283",1,"M2","zona interior","16",1250,0,0,"renta.act.Esc1.Int2",0
"284",3,"M2","zona interior","16",1250,0,0,"renta.act.Esc1.Int2",-2333.98
"285",14,"M2","zona interior","16",1000,0,12.668,"renta.act.Esc1.Int2",-1117.04904899721
"286",22,"M2","zona interior","16",700,10.595,61.264,"renta.act.Esc1.Int2",-1391.93599622909
"287",30,"M2","zona interior","16",300,179.214,239.833,"renta.act.Esc1.Int2",-1544.13678386784
"288",40,"M2","zona interior","16",0,509.386,534.93,"renta.act.Esc1.Int2",2897.62995364828
"289",1,"M2","zona interior","21",1250,0,0,"renta.act.Esc1.Int2",0
"290",3,"M2","zona interior","21",1250,0,0,"renta.act.Esc1.Int2",-2333.98
"291",14,"M2","zona interior","21",1000,0,31.611,"renta.act.Esc1.Int2",-1117.04904899721
"292",22,"M2","zona interior","21",700,62.98,122.773,"renta.act.Esc1.Int2",-1357.38114329061
"293",30,"M2","zona interior","21",300,348.786,410.002,"renta.act.Esc1.Int2",-857.284148542753
